parent_name,child_name,parent_smiles,child_smiles
(r)-mda,Alpha-methyldopamine,CC(N)Cc1ccc2c(c1)OCO2,CC(N)Cc1ccc(O)c(O)c1
(r)-metoprolol,alpha-Hydroxymetoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,COCC(O)c1ccc(OCC(O)CNC(C)C)cc1
(r)-trimipramine,,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,CNCC(C)CN1c2ccccc2CCc2ccccc21
(s)-(-)-carvedilol,4'-OH-carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,COc1cc(O)ccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
(s)-fluoxetine,(s)-Norfluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
(s)-flurbiprofen,4-OH-S-flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,CC(C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1
(s)-hexobarbital,3'-OH-(S)-hexobarbital,CN1C(=O)N=C(O)C(C)(C2=CCCCC2)C1=O,CN1C(=O)N=C(O)C(C)(C2=CC(O)CCC2)C1=O
(s)-mephobarbital,4-hydroxymephobarbital,CCC1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,CCC1(c2ccc(O)cc2)C(=O)N(C)C(=O)N=C1O
(s)-norfenfluramine,,CC(N)Cc1cccc(C(F)(F)F)c1,NCCc1cccc(C(F)(F)F)c1
(s)-oxybutynin,2-cyclohexyl-2-phenylglycolic acid,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,O=C(O)C(O)(c1ccccc1)C1CCCCC1
(s)-propafenone,(S)-5-Hydroxypropafenone,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,CCCNCC(O)COc1ccc(O)cc1C(=O)CCc1ccccc1
(s)-tomoxetine,4-Hydroxy-(s)-tomoxetine,CNCCC(Oc1ccccc1C)c1ccccc1,CNCCC(Oc1ccc(O)cc1C)c1ccccc1
[2-methyl-4-(o-tolylazo)phenyl]amine,4'-hydroxy-o-aminoazotoJuene,Cc1cc(N=Nc2ccccc2C)ccc1N,Cc1cc(N=Nc2ccc(O)cc2C)ccc1N
1_4_cineole,,CC(C)C12CCC(C)(CC1)O2,CC(C)C12CCC(C)(O1)C(O)C2
1_8_cineole,"2alpha-hydroxy-1,8-cineole",CC12CCC(CC1)C(C)(C)O2,CC1(C)OC2(C)CCC1CC2O
1-(3-chlorophenyl)piperazine,2‐chloro‐4‐(piperazin‐1‐yl)phenol,Clc1cccc(N2CCNCC2)c1,Oc1ccc(N2CCNCC2)cc1Cl
1-(4-methoxyphenyl)piperazine,1-(4-hydroxyphenyl)piperazine,COc1ccc(N2CCNCC2)cc1,Oc1ccc(N2CCNCC2)cc1
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",1-methyl-4-phenylpyridin-1-ium,CN1CC=C(c2ccccc2)CC1,C[n+]1ccc(-c2ccccc2)cc1
1-nitropyrene,3-OH-1-nitropyrene,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,O=[N+]([O-])c1cc(O)c2ccc3cccc4ccc1c2c34
"1-propanol, 3-[3-(1-piperidinylmethyl)phenoxy]-",,OCCCOc1cccc(CN2CCCCC2)c1,Oc1cccc(CN2CCCCC2)c1
"1,2-dichlorobenzene","2,3-dichlorophenol",Clc1ccccc1Cl,Oc1cccc(Cl)c1Cl
"1,2,4-trichlorobenzene","2,3,5-trichlorophenol",Clc1ccc(Cl)c(Cl)c1,Oc1cc(Cl)cc(Cl)c1Cl
1'-nitrosonornicotine,,O=NN1CCCC1c1cccnc1,O=NN1C(O)CCC1c1cccnc1
11_oxo_delta8_tetrahydrocannabinol,,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C=O)CC21,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C(=O)O)CC21
2-(1-piperazinyl)pyrimidine,,c1cnc(N2CCNCC2)nc1,Oc1cnc(N2CCNCC2)nc1
2-acetamidofluorene,N-Hydroxy-2-acetamidofluorene,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2
"2-chloro-3-pyridin-3-yl-5,6,7,8-tetrahydroindolizine-1-carboxamide",rac-RPR 127025,NC(=O)c1c(Cl)c(-c2cccnc2)n2c1CCCC2,NC(=O)c1c(Cl)c(-c2cccnc2)n2c1C(O)CCC2
2-phenylphenol,"2,5-dihydroxybiphenyl",Oc1ccccc1-c1ccccc1,Oc1ccc(O)c(-c2ccccc2)c1
"2,2-dichloro-1,1,1-trifluoroethane",Trifluoroacetyl chloride,FC(F)(F)C(Cl)Cl,O=CC(F)(F)F
"2,2',4,5,5'-pentachlorobiphenyl","2,2',4',5,5'-pentachloro-[1,1'-biphenyl]-4-ol",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,Oc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl
"2,6-dichlorobenzonitrile",,N#Cc1c(Cl)cccc1Cl,N#CC1=C(Cl)C2OC2C=C1Cl
2'-methoxyacetophenone,2'-Hydroxyacetophenone,COc1ccccc1C(C)=O,CC(=O)c1ccccc1O
"2h-1-benzopyran-2-one, 4-(chloromethyl)-7-ethoxy-",4-(Chloromethyl)-7-hydroxychromen-2-one,CCOc1ccc2c(CCl)cc(=O)oc2c1,O=c1cc(CCl)c2ccc(O)cc2o1
"2h-1-benzopyran-2-one, 7-(pentyloxy)-",,CCCCCOc1ccc2ccc(=O)oc2c1,CCC(O)CCOc1ccc2ccc(=O)oc2c1
3-cyano-7-ethoxycoumarin,3-Cyano-7-hydroxycoumarin,CCOc1ccc2cc(C#N)c(=O)oc2c1,N#Cc1cc2ccc(O)cc2oc1=O
3-cyano-7-methoxycoumarin,3-Cyano-7-hydroxycoumarin,COc1ccc2cc(C#N)c(=O)oc2c1,N#Cc1cc2ccc(O)cc2oc1=O
"3,5-pyridinedicarboxylic acid, 1,4-dihydro-2,6-dimethyl-4-(3-nitrophenyl)-, ethyl methyl ester, (4r)-",,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,CCOC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1cccc([N+](=O)[O-])c1
"3alpha,12beta-dihydroxy-5alpha-cholan-24-oic acid",hyocholic acid (HCA),CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CC(O)C12C
"3alpha,7beta,12beta-trihydroxy-5alpha-cholan-24-oic acid",,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(O)C12C
3s14s-ochratoxin a,,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,CC1OC(=O)c2c(O)c(C(=O)NC(Cc3ccccc3)C(=O)O)cc(Cl)c2C1O
4_demethyl_olanzapine,,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1O
4-(butylaminomethyl)-7-methoxycoumarin,BHAMC,CCCCNCc1cc(=O)oc2cc(OC)ccc12,CCCCNCc1cc(=O)oc2cc(O)ccc12
4-(ethylaminomethyl)-7-methoxycoumarin,EHAMC,CCNCc1cc(=O)oc2cc(OC)ccc12,CCNCc1cc(=O)oc2cc(O)ccc12
"4-(trifluoromethyl)-7-[2,5-bis(trifluoromethyl)benzyloxy]coumarin",HFC,O=c1cc(C(F)(F)F)c2ccc(OCc3cc(C(F)(F)F)ccc3C(F)(F)F)cc2o1,O=c1cc(C(F)(F)F)c2ccc(O)cc2o1
"4-[(s)-alpha-(trichloromethyl)-4-methoxybenzyl]-1,2-benzenediol",Tris-OH-M methoxychlor,COc1ccc(C(c2ccc(O)c(O)c2)C(Cl)(Cl)Cl)cc1,Oc1ccc(C(c2ccc(O)c(O)c2)C(Cl)(Cl)Cl)cc1
4-aminobiphenyl,"4-aminobiphenyl, N-oxide",Nc1ccc(-c2ccccc2)cc1,ONc1ccc(-c2ccccc2)cc1
4-Hydroxytamoxifen,Endoxifen,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CCC(=C(c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1
4-methylaminomethyl-7-methoxycoumarin,N-methyl 7-hydroxy-4-(aminomethyl)-coumarin,CNCc1cc(=O)oc2cc(OC)ccc12,CNCc1cc(=O)oc2cc(O)ccc12
4-nitro-3-(trifluoromethyl)aniline,2-amino5-nitro-4-(trifluoromethyl)phenol,Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,Nc1cc(C(F)(F)F)c([N+](=O)[O-])cc1O
4-nitroanisole,P-Nitrophenol,COc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(O)cc1
4-nitropyrene,4-aminopyrene,O=[N+]([O-])c1cc2cccc3ccc4cccc1c4c32,Nc1cc2cccc3ccc4cccc1c4c32
"4,4'-methylenebis(2-chloroaniline)",,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,Nc1ccc(Cc2ccc(NO)c(Cl)c2)cc1Cl
"4'-hydroxy-5,6,7,8-tetramethoxyflavone (tangeretin_T27)",OROBOL,COc1c(OC)c(OC)c2c(=O)cc(-c3ccc(O)cc3)oc2c1OC,COc1c(OC)c(OC)c2c(=O)cc(-c3ccc(O)c(O)c3)oc2c1OC
5-hydroxydiclofenac,"4',5-Dihydroxydiclofenac",O=C(O)Cc1cc(O)ccc1Nc1c(Cl)cccc1Cl,O=C(O)Cc1cc(O)ccc1Nc1c(Cl)cc(O)cc1Cl
5-methoxytryptamine,Serotonin,COc1ccc2[nH]cc(CCN)c2c1,NCCc1c[nH]c2ccc(O)cc12
5-methylchrysene,"5-Methyl-1,2-dihydrochrysene-1,2-diol",Cc1cc2ccccc2c2ccc3ccccc3c12,Cc1cc2ccccc2c2ccc3c(c12)C=CC(O)C3O
58c80,298C84,CC(C)(C)C1CCC(C2=C(O)C(=O)c3ccccc3C2=O)CC1,CC(C)(CO)C1CCC(C2=C(O)C(=O)c3ccccc3C2=O)CC1
6-chrysenamine,"6-MeC-1,2-diol",Nc1cc2c3ccccc3ccc2c2ccccc12,Nc1cc2c3c(ccc2c2ccccc12)C(O)C(O)C=C3
6-methylchrysene,"6-MeC-1,2-diol",Cc1cc2c3ccccc3ccc2c2ccccc12,Cc1cc2c3c(ccc2c2ccccc12)C(O)C(O)C=C3
6-nitrochrysene,N-hydroxy-6-AC,O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,ONc1cc2c3ccccc3ccc2c2ccccc12
7-benzyloxy-4-trifluoromethylcoumarin,7-hydroxy-4-triuoromethylcoumarin (HFC),O=c1cc(C(F)(F)F)c2ccc(OCc3ccccc3)cc2o1,O=c1cc(C(F)(F)F)c2ccc(O)cc2o1
7-ethoxycoumarin,Umbelliferone,CCOc1ccc2ccc(=O)oc2c1,O=c1ccc2ccc(O)cc2o1
7-ethoxyresorufin,Resorufin,CCOc1ccc2nc3ccc(=O)cc-3oc2c1,O=c1ccc2nc3ccc(O)cc3oc-2c1
7-methoxycoumarin,Umbelliferone,COc1ccc2ccc(=O)oc2c1,O=c1ccc2ccc(O)cc2o1
7-methylbenz(c)acridine,,Cc1c2ccccc2nc2c1ccc1ccccc12,Cc1c2c(nc3c1ccc1ccccc13)C=CC(O)C2O
9-anthraldehyde,,O=Cc1c2ccccc2cc2ccccc12,O=C(O)c1c2ccccc2cc2ccccc12
"Lopinavir, D-valine diastereomer-",,Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCN=C1O,Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCC(O)N=C1O
"1-[Amino-(3,4-dichloroanilino)methylidene]-2-propan-2-ylguanidine",,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)c(Cl)c1,CC(C)(O)NC(=N)NC(=N)Nc1ccc(Cl)c(Cl)c1
ac1mip3e,N-deethylated  ac1mip3e,CCN(CC)CC#CC(C)(C)OC(=O)C(O)(c1ccccc1)C1CCCCC1,CCNCC#CC(C)(C)OC(=O)C(O)(c1ccccc1)C1CCCCC1
ac1ocg1j,,CNC(C)Cc1ccccc1OC,CNC(C)Cc1ccccc1O
pimobendan,,COc1ccc(-c2nc3cc(C4=NN=C(O)CC4C)ccc3[nH]2)cc1,CC1CC(O)=NN=C1c1ccc2[nH]c(-c3ccc(O)cc3)nc2c1
aceclofenac,4'-OH-aceclofenac,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl
acetanilide,Acetaminophen,CC(=O)Nc1ccccc1,CC(=O)Nc1ccc(O)cc1
aflatoxin b1," Aflatoxin B1- exo-8,9-oxide ",COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C(O2)OC2OC21
albendazole,,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,CCC[S+]([O-])c1ccc2nc(NC(=O)OC)[nH]c2c1
alfentanil,N-phenylpropionamide,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,CCC(=O)Nc1ccccc1
alilusem,,Cc1ccccc1C(=O)N1CCC(=NOS(=O)(=O)O)c2ccc(Cl)cc21,O=C(c1ccccc1CO)N1CCC(=NOS(=O)(=O)O)c2ccc(Cl)cc21
alpha_dihydroergocryptine,,CC(C)C1(NC(=O)C2CC3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)CN2C1=O,CC(C)C1(NC(=O)C2CC3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCC(O)N3C(=O)CN2C1=O
alphacetylmethadol,norLAAM,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,CCC(OC(C)=O)C(CC(C)NC)(c1ccccc1)c1ccccc1
alprazolam,4-Hydroxyalprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2O
ambroxol,"4-Aminocyclohexanol, cis-",Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,NC1CCC(O)CC1
Ametryn,,CCN=c1nc(SC)[nH]c(=NC(C)C)[nH]1,CSc1nc(=N)[nH]c(=NC(C)C)[nH]1
aminopyrine,"4-(Dimethylamino)-5-methyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-one",CN(C)c1cn(C)n(-c2ccccc2)c1=O,CN(C)c1c[nH]n(-c2ccccc2)c1=O
amiodarone,N-Desethylamiodarone,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1
amitriptyline,Nortriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CCc2ccccc21
androstenedione,6beta-hydroxy-androstenedione,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,CC12CCC3C(CC(O)C4=CC(=O)CCC43C)C1CCC2=O
antipyrine,Norantipyrine,Cc1cc(=O)n(-c2ccccc2)n1C,Cc1cc(=O)n(-c2ccccc2)[nH]1
aprepitant,"(2R,3S)‐2‐[(1R)‐1‐[3,5‐bis(trifluoromethyl)phenyl]ethoxy]‐3‐(4‐fluorophenyl)morpholine",CC(OC1OCCN(Cc2nc(O)n[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(OC1OCCNC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
arachidonic acid,5-HETE,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,CCCCCC=CCC=CCC=CC=CC(O)CCCC(=O)O
aripiprazole,dehydro-aripiprazole,OC1=Nc2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)ccc2CC1,Oc1ccc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2n1
arverapamil,"(2R)-5-{[2-(3,4-dimethoxyphenyl)ethyl]amino}-2-(3-methoxyphenyl)-2-(propan-2-yl)pentanenitrile",COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,COc1cccc(C(C#N)(CCCNCCc2ccc(OC)c(OC)c2)C(C)C)c1
astemizole,6-Hydroxyastemizole,COc1ccc(CCN2CCC(N=c3[nH]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,COc1ccc(CCN2CCC(N=c3[nH]c4ccc(O)cc4n3Cc3ccc(F)cc3)CC2)cc1
barnidipine,,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCNC2)C1c1cccc([N+](=O)[O-])c1
"benzeneethanol, 2-[(2,6-dichlorophenyl)amino]- (reduced_diclofenac)",,OCCc1ccccc1Nc1c(Cl)cccc1Cl,OCCc1cc(O)ccc1Nc1c(Cl)cccc1Cl
"benzo(a)pyrene-7,8-diol",,Oc1ccc2c(cc3ccc4cccc5ccc2c3c45)c1O,Oc1c(O)c2oc2c2c1cc1ccc3cccc4ccc2c1c34
bergapten,,COc1c2ccoc2cc2oc(=O)ccc12,COc1c2c(cc3oc(=O)ccc13)OC1OC21
beta_arteether,DIHYDROQINGHAOSU,CCOC1OC2OC3(C)CCCC4C(C)CCC(C1C)C24OO3,CC1CCC2C(C)C(O)OC3OC4(C)CCCC1C32OO4
beta-artelinic acid,Dihydroqinghaosu (DQHS),CC1CCC2C(C)C(OCc3ccc(C(=O)O)cc3)OC3OC4(C)CCC1C32OO4,CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4
beta-methylstyrene,2-methyl-3-phenyloxirane,CC=Cc1ccccc1,CC1OC1c1ccccc1
bifendate,,COC(=O)c1cc(OC)c2c(c1-c1c(C(=O)OC)cc(OC)c3c1OCO3)OCO2,COC(=O)c1cc(OC)c(O)c(O)c1-c1c(C(=O)OC)cc(OC)c2c1OCO2
bosentan,"4-(2-hydroxy-1,1-dimethylethyl)-N-[6-(2-hydroxyethoxy)-5-(2-methoxyphenoxy)-[2,2Ã¢â‚¬â„¢]bipyrimidinyl-4-yl]-benzenesulfonamide",COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncccn2)nc1OCCO
brn 4201400,,Cc1nc2c(=O)n(C)c(=O)n(CC3CCCCC3)c2[nH]1,Cn1c(=O)c2nc(CO)[nH]c2n(CC2CCCCC2)c1=O
brofaromine,O-desmethyl-brofaromine,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,Oc1cc(Br)c2oc(C3CCNCC3)cc2c1
