parent_name,parent_smiles,child_name,child_smiles,source
"(S)-2-(2,6-Dichlorobenzamido)-3-(2',6'-dimethoxy-[1,1'-biphenyl]-4-yl)propanoic acid",COc1cccc(OC)c1-c1ccc(C[C@H](N=C(O)c2c(Cl)cccc2Cl)C(=O)O)cc1,,COc1cccc(O)c1-c1ccc(CC(N=C(O)c2c(Cl)cccc2Cl)C(=O)O)cc1,MetXBioDB
Rabeprazole (rabeprazole_thioether),COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,Rabeprazole,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,MetXBioDB
Rabeprazole (rabeprazole_thioether),COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,Desmethylrabeprazole-thioether,Cc1c(OCCCO)ccnc1CSc1nc2ccccc2[nH]1,MetXBioDB
Dehydroxyzyleuton,C[C@H](NC(=N)O)c1cc2ccccc2s1,Dehydroxyzyleuton sulfoxide,C[C@H](NC(=N)O)C1=Cc2ccccc2S1=O,MetXBioDB
Dehydroxyzyleuton,C[C@H](NC(=N)O)c1cc2ccccc2s1,(1S)â€1â€(6â€hydroxyâ€1â€benzothiophenâ€2â€yl)ethylurea,C[C@H](NC(=N)O)c1cc2ccc(O)cc2s1,MetXBioDB
"(2R,3S)-2-((R)-1-(3,5-Bis(trifluoromethyl)phenyl)ethoxy)-3-(4-fluorophenyl)morpholine",C[C@@H](O[C@H]1OCCN[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,aprepitant_M2,CC(OC1OCC=NC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,MetXBioDB
2-Methoxy-5-trifluoromethoxybenzylamine,COc1ccc(OC(F)(F)F)cc1CN,"CP-919,230",NCc1cc(OC(F)(F)F)ccc1O,MetXBioDB
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2cc(O)co2)n1C,MetXBioDB
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2occc2O)n1C,MetXBioDB
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccc(O)o2)n1C,MetXBioDB
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,,Cn1c(=O)c2c(nc(CO)n2C)n(Cc2ccco2)c1=O,MetXBioDB
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C,,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCC(O)C2)n1C,MetXBioDB
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C,,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1CO,MetXBioDB
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C,,Cn1c(=O)c2c(nc(CO)n2C)n(CC2CCCCC2)c1=O,MetXBioDB
(-)-ethosuximide,CC[C@]1(C)CC(O)=NC1=O,,CC(O)C1(C)CC(O)=NC1=O,MetXBioDB
(-)-etodolac,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3,6-Hydroxyetodolac,CCc1cc(O)cc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,MetXBioDB
(-)-etodolac,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3,7-Hydroxyetodolac,CCc1c(O)ccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,MetXBioDB
(-)-limonene,C=C(C)[C@@H]1CC=C(C)CC1,Carveol,C=C(C)C1CC=C(C)C(O)C1,MetXBioDB
(-)-limonene,C=C(C)[C@@H]1CC=C(C)CC1,Perillyl alcohol,C=C(C)[C@@H]1CC=C(CO)CC1,MetXBioDB
(-)-pseudococaine,COC(=O)[C@H]1[C@H](OC(=O)c2ccccc2)C[C@H]2CC[C@@H]1N2C,Norcocaine,COC(=O)[C@@H]1[C@@H]2CC[C@H](C[C@H]1OC(=O)c1ccccc1)N2,MetXBioDB
(-)-thalidomide,O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,"cis, trans-5'-OH-thalidomide",O=C1N=C(O)[C@@H](N2C(=O)c3ccccc3C2=O)CC1O,MetXBioDB
(-)-thalidomide,O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,5-OH-thalidomide,O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccc(O)cc2C1=O,MetXBioDB
(-)-thalidomide,O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,(-)-thalidomide arene oxide,O=C1N=C(O)CC[C@@H]1N1C(=O)C2=CC3OC3C=C2C1=O,MetXBioDB
(-)-zileuton,C[C@@H](c1cc2ccccc2s1)N(O)C(=N)O,Zileuton sulfoxide,C[C@@H](C1=Cc2ccccc2S1=O)N(O)C(=N)O,MetXBioDB
(-)-zileuton,C[C@@H](c1cc2ccccc2s1)N(O)C(=N)O,Hydroxyzileuton,C[C@@H](c1cc2ccc(O)cc2s1)N(O)C(=N)O,MetXBioDB
Perhexiline,C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,cis-hydroxyperhexilline,OC1CCC([C@@H](CC2CCCCN2)C2CCCCC2)CC1,MetXBioDB
Perhexiline,C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,trans-hydroxyperhexilline,O[C@H]1CC[C@@H](C(CC2CCCCN2)C2CCCCC2)CC1,MetXBioDB
(+)-3-carene,CC1=CC[C@@H]2[C@H](C1)C2(C)C,3-Caren-10-ol,CC1(C)[C@@H]2CC=C(CO)C[C@@H]21,MetXBioDB
(+)-3-carene,CC1=CC[C@@H]2[C@H](C1)C2(C)C,Carene epoxide,CC12C[C@H]3[C@@H](CC1O2)C3(C)C,MetXBioDB
(+)-bisoprolol,CC(C)NC[C@@H](O)COc1ccc(COCCOC(C)C)cc1,"(+)-bisoprolol, O-deisopropyl",CC(C)NC[C@@H](O)COc1ccc(COCCO)cc1,MetXBioDB
(+)-fipronil,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S@](=O)C(F)(F)F,f ipronil sulfone,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,MetXBioDB
(+)-halofantrine,CCCCN(CCCC)CC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,"(+)-halofantrine, N-desbutyl",CCCCNCC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,MetXBioDB
(+)-isothujone,CC(C)[C@]12CC(=O)[C@@H](C)[C@H]1C2,4-hydroxy-isothujone,CC(C)[C@]12CC(=O)[C@](C)(O)[C@H]1C2,MetXBioDB
(+)-isothujone,CC(C)[C@]12CC(=O)[C@@H](C)[C@H]1C2,7-hydroxy-isothujone,C[C@@H]1C(=O)C[C@]2(C(C)(C)O)C[C@H]12,MetXBioDB
"(13alpha)-3-methoxy-estra-1,3,5(10)-triene-17alpha-ol",COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H](O)CC[C@@H]12,Estradiol,C[C@@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,MetXBioDB
(2r)-1-(2-methoxyphenyl)propan-2-amine,COc1ccccc1C[C@@H](C)N,,CC(N)Cc1ccccc1O,MetXBioDB
(2r)-1-(2-methoxyphenyl)propan-2-amine,COc1ccccc1C[C@@H](C)N,,COc1c(O)cccc1CC(C)N,MetXBioDB
(2r)-1-(2-methoxyphenyl)propan-2-amine,COc1ccccc1C[C@@H](C)N,,COC1CCC(O)CC1CC(C)N,MetXBioDB
(2r)-2-[4-(3-methylthiophen-2-yl)phenyl]propanoic acid,Cc1ccsc1-c1ccc([C@@H](C)C(=O)O)cc1,,CC1=C(c2ccc([C@@H](C)C(=O)O)cc2)SC(=O)C1,MetXBioDB
"(2s,5s)-troglitazone",Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@@H]3SC(=O)N=C3O)cc1)O2,"(2S)â€3â€(4â€{[(2S)â€6â€hydroxyâ€2,5,7,8â€tetramethylâ€3,4â€dihydroâ€1â€benzopyranâ€2â€yl]methoxy}phenyl)â€2â€(hydroxysulfanyl)propanecarbonyl isocyanate",Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@H](SO)C(=O)N=C=O)cc1)O2,MetXBioDB
"(2s,5s)-troglitazone",Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@@H]3SC(=O)N=C3O)cc1)O2,"(1S)-1-(formylcarbamoyl)-2-(4-{[(2S)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-yl]methoxy}phenyl)ethane-1-sulfinic acid",Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@@H](C(=O)N=CO)S(=O)O)cc1)O2,MetXBioDB
Saquinavir,CC(C)(C)N=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-[(1-hydroxy-2-methylpropan-2-yl)carbamoyl]-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(CO)N=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,MetXBioDB
Saquinavir,CC(C)(C)N=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,"(2S)-N-[(2S,3R)-4-[(3S,4aR,8aS)-3-(tert-butylcarbamoyl)-6-hydroxy-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)N=C(O)[C@@H]1C[C@@H]2CC(O)CC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,MetXBioDB
Saquinavir,CC(C)(C)N=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-(tert-butylcarbamoyl)-7-hydroxy-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)N=C(O)[C@@H]1C[C@@H]2CCC(O)C[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(=N)O)NC(=O)c1ccc2ccccc2n1,MetXBioDB
"(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid",O=C(O)C/C=C\C[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1,(3Z)â€5â€{3â€benzenesulfonamidoâ€6â€hydroxybicyclo[2.2.1]heptanâ€2â€yl}pentâ€3â€enoic acid,O=C(O)C/C=C\CC1C2CC(CC2O)C1NS(=O)(=O)c1ccccc1,MetXBioDB
"(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid",O=C(O)C/C=C\C[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1,(3Z)â€5â€{3â€benzenesulfonamidoâ€5â€hydroxybicyclo[2.2.1]heptanâ€2â€yl}pentâ€3â€enoic acid,O=C(O)C/C=C\CC1C2CC(O)C(C2)C1NS(=O)(=O)c1ccccc1,MetXBioDB
(r)-(+)-felodipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc(Cl)c1Cl,Dehydrofelodipine,CCOC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1cccc(Cl)c1Cl,MetXBioDB
(R)-(-)-Mexiletine,Cc1cccc(C)c1OC[C@@H](C)N,"(R)-(-)-Mexiletine, p-hydroxyl",Cc1cc(O)cc(C)c1OC[C@@H](C)N,MetXBioDB
(R)-(-)-Mexiletine,Cc1cccc(C)c1OC[C@@H](C)N,"(R)-(-)-Mexiletine, m-hydroxyl",Cc1ccc(O)c(C)c1OC[C@@H](C)N,MetXBioDB
(R)-(-)-Mexiletine,Cc1cccc(C)c1OC[C@@H](C)N,"(R)-(-)-Mexiletine, 2-OH-hydroxymethyl",Cc1cccc(CO)c1OC[C@@H](C)N,MetXBioDB
(R)-(-)-Mexiletine,Cc1cccc(C)c1OC[C@@H](C)N,"(R)-(-)-Mexiletine, N-hydroxy",Cc1cccc(C)c1OC[C@@H](C)NO,MetXBioDB
(r)-azelastine,CN1CCC[C@@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,"(r)-azelastine, N-desmethyl",O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1[C@@H]1CCCNCC1,MetXBioDB
(r)-bupropion,C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,(2R)-1-(3-chlorophenyl)-2-[(1-hydroxy-2-methylpropan-2-yl)amino]propan-1-one,C[C@@H](NC(C)(C)CO)C(=O)c1cccc(Cl)c1,MetXBioDB
(r)-bupropion,C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,(2R)-2-(tert-butylamino)-1-(3-chlorophenyl)-3-hydroxypropan-1-one,CC(C)(C)N[C@H](CO)C(=O)c1cccc(Cl)c1,MetXBioDB
(r)-bupropion,C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,(2R)-2-(tert-butylamino)-1-(3-chloro-4-hydroxyphenyl)propan-1-one,C[C@@H](NC(C)(C)C)C(=O)c1ccc(O)c(Cl)c1,MetXBioDB
(r)-bupropion,C[C@@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,(2R)â€2â€(tertâ€butylamino)â€1â€(3â€chloroâ€5â€hydroxyphenyl)propanâ€1â€one,C[C@@H](NC(C)(C)C)C(=O)c1cc(O)cc(Cl)c1,MetXBioDB
(r)-chloroquine,CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,"(r)-chloroquine, N-desethyl",CCNCCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,MetXBioDB
(r)-enflurane,FC(F)OC(F)(F)[C@H](F)Cl,"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride",O=C(F)C(F)(F)OC(F)F,MetXBioDB
(r)-ketamine,CN[C@@]1(c2ccccc2Cl)CCCCC1=O,Norketamine,N[C@@]1(c2ccccc2Cl)CCCCC1=O,MetXBioDB
(r)-mda,C[C@@H](N)Cc1ccc2c(c1)OCO2,Alpha-methyldopamine,CC(N)Cc1ccc(O)c(O)c1,MetXBioDB
(r)-metoprolol,COCCc1ccc(OC[C@H](O)CNC(C)C)cc1,alpha-Hydroxymetoprolol,COCC(O)c1ccc(OC[C@H](O)CNC(C)C)cc1,MetXBioDB
(r)-metoprolol,COCCc1ccc(OC[C@H](O)CNC(C)C)cc1,O-Demethylmetoprolol,CC(C)NC[C@@H](O)COc1ccc(CCO)cc1,MetXBioDB
(r)-metoprolol,COCCc1ccc(OC[C@H](O)CNC(C)C)cc1,N_DEISOPROPYLATION,COCCc1ccc(OC[C@H](O)CN)cc1,MetXBioDB
(r)-trimipramine,C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,,CNCC(C)CN1c2ccccc2CCc2ccccc21,MetXBioDB
(r)-trimipramine,C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,,CC(CN(C)C)CN1c2ccccc2CC(O)c2ccccc21,MetXBioDB
(r)-trimipramine,C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,,CC(CN(C)C)CN1c2ccccc2CCc2cc(O)ccc21,MetXBioDB
(s)-(-)-carvedilol,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,4'-OH-carvedilol,COc1cc(O)ccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,MetXBioDB
(s)-(-)-carvedilol,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,O-Desmethylcarvedilol,Oc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,MetXBioDB
(s)-(-)-carvedilol,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,5'-OH-carvedilol,COc1ccc(O)cc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,MetXBioDB
(s)-(-)-carvedilol,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,8-OH-carvedilol,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3c(O)cccc3c12,MetXBioDB
(s)-(+)-ibuprofen,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,2-Hydroxyibuprofen,C[C@H](C(=O)O)c1ccc(CC(C)(C)O)cc1,MetXBioDB
(s)-(+)-ibuprofen,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,3-Hydroxyibuprofen,CC(CO)Cc1ccc([C@H](C)C(=O)O)cc1,MetXBioDB
(s)-fluoxetine,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(s)-Norfluoxetine,NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,MetXBioDB
(s)-fluoxetine,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,p-Trifluoromethyl phenol,Oc1ccc(C(F)(F)F)cc1,MetXBioDB
(s)-fluoxetine,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,3-(methylamino)-1-phenylpropan-1-one,CNCCC(=O)c1ccccc1,MetXBioDB
(s)-flurbiprofen,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4-OH-S-flurbiprofen,C[C@H](C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1,MetXBioDB
(s)-hexobarbital,CN1C(=O)N=C(O)[C@](C)(C2=CCCCC2)C1=O,3'-OH-(S)-hexobarbital,CN1C(=O)N=C(O)[C@](C)(C2=CC(O)CCC2)C1=O,MetXBioDB
(s)-mephobarbital,CC[C@@]1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,4-hydroxymephobarbital,CCC1(c2ccc(O)cc2)C(=O)N(C)C(=O)N=C1O,MetXBioDB
(s)-mephobarbital,CC[C@@]1(c2ccccc2)C(=O)N(C)C(=O)N=C1O,phenobarbital,CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,MetXBioDB
(s)-norfenfluramine,C[C@H](N)Cc1cccc(C(F)(F)F)c1,,NCCc1cccc(C(F)(F)F)c1,MetXBioDB
(s)-oxybutynin,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,2-cyclohexyl-2-phenylglycolic acid,O=C(O)[C@@](O)(c1ccccc1)C1CCCCC1,MetXBioDB
(s)-oxybutynin,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,4-(diethylamino)but-2-yn-1-ol,CCN(CC)CC#CCO,MetXBioDB
(s)-oxybutynin,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,N-desethyloxybutynin,CCNCC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,MetXBioDB
(s)-propafenone,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,(S)-5-Hydroxypropafenone,CCCNC[C@H](O)COc1ccc(O)cc1C(=O)CCc1ccccc1,MetXBioDB
(s)-propafenone,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,(S)-N-Despropylpropafenone,NC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,MetXBioDB
(s)-propafenone,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,(S)-4'-Hydroxypropafenone,CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccc(O)cc1,MetXBioDB
(s)-tomoxetine,CNCC[C@H](Oc1ccccc1C)c1ccccc1,4-Hydroxy-(s)-tomoxetine,CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1,MetXBioDB
(s)-tomoxetine,CNCC[C@H](Oc1ccccc1C)c1ccccc1,N-Desmethyl-(s)-tomoxetine,CNCC[C@@H](Oc1ccccc1CO)c1ccccc1,MetXBioDB
(s)-tomoxetine,CNCC[C@H](Oc1ccccc1C)c1ccccc1,2-Hydroxy-(s)-tomoxetine,Cc1ccccc1O[C@H](CCNCO)c1ccccc1,MetXBioDB
(s)-venlafaxine,COc1ccc([C@@H](CN(C)C)C2(O)CCCCC2)cc1,N-Desmethylvenlafaxine,CNC[C@H](c1ccc(OC)cc1)C1(O)CCCCC1,MetXBioDB
(s)-venlafaxine,COc1ccc([C@@H](CN(C)C)C2(O)CCCCC2)cc1,O-Desmethylvenlafaxine,CN(C)C[C@H](c1ccc(O)cc1)C1(O)CCCCC1,MetXBioDB
[2-methyl-4-(o-tolylazo)phenyl]amine,Cc1cc(/N=N/c2ccccc2C)ccc1N,4'-hydroxy-o-aminoazotoJuene,Cc1cc(/N=N/c2ccc(O)cc2C)ccc1N,MetXBioDB
[2-methyl-4-(o-tolylazo)phenyl]amine,Cc1cc(/N=N/c2ccccc2C)ccc1N,2'-hydroxymethyl-3-raethyl-4-aminoazoberizene,Cc1cc(/N=N/c2ccccc2CO)ccc1N,MetXBioDB
[2-methyl-4-(o-tolylazo)phenyl]amine,Cc1cc(/N=N/c2ccccc2C)ccc1N,N-hydroxy-oaminoazotohiene,Cc1ccccc1/N=N/c1ccc(NO)c(C)c1,MetXBioDB
1_4_cineole,CC(C)C12CCC(C)(CC1)O2,,CC(C)C12CCC(C)(O1)C(O)C2,MetXBioDB
1_8_cineole,CC12CCC(CC1)C(C)(C)O2,"2alpha-hydroxy-1,8-cineole",CC1(C)OC2(C)CCC1CC2O,MetXBioDB
1_8_cineole,CC12CCC(CC1)C(C)(C)O2,"3alpha-hydroxy-1,8-cineole",CC12CCC(C(O)C1)C(C)(C)O2,MetXBioDB
1-(3-chlorophenyl)piperazine,Clc1cccc(N2CCNCC2)c1,2‐chloro‐4‐(piperazin‐1‐yl)phenol,Oc1ccc(N2CCNCC2)cc1Cl,MetXBioDB
1-(4-methoxyphenyl)piperazine,COc1ccc(N2CCNCC2)cc1,1-(4-hydroxyphenyl)piperazine,Oc1ccc(N2CCNCC2)cc1,MetXBioDB
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",CN1CC=C(c2ccccc2)CC1,1-methyl-4-phenylpyridin-1-ium,C[n+]1ccc(-c2ccccc2)cc1,MetXBioDB
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",CN1CC=C(c2ccccc2)CC1,pOH-MPTP,CN1CC=C(c2ccc(O)cc2)CC1,MetXBioDB
1-nitropyrene,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,3-OH-1-nitropyrene,O=[N+]([O-])c1cc(O)c2ccc3cccc4ccc1c2c34,MetXBioDB
